gene_id	Gene names	type
ENSMUSG00000020282	Rhbdf1 Dist1 Irhom1 Kiaa4242	integral membrane
ENSMUSG00000020284	Cfap410	cytoplasm
ENSMUSG00000020286		integral membrane
ENSMUSG00000020290	Xpo1 Crm1	nucleus
ENSMUSG00000020297	Nsg2	integral membrane
ENSMUSG00000020300	Cpeb4 Kiaa1673	nucleus
ENSMUSG00000020308	Tpgs1 Gm16517 Gtrgeo22	integral membrane
ENSMUSG00000020309	Chac2	cytoplasm
ENSMUSG00000020310	Madcam1	integral membrane
ENSMUSG00000020315	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	nucleus
ENSMUSG00000020317	Theg	nucleus
ENSMUSG00000020325	Fstl3 Flrg	nucleus
ENSMUSG00000020326	Ccng1 Ccng	nucleus
ENSMUSG00000020327	Fgf22	cytoplasm
ENSMUSG00000020328	Nudcd2 D11Ertd603e	cytoplasm
ENSMUSG00000020331	Hcn2 Bcng2 Hac1	cytoplasm
ENSMUSG00000020333	Acsl6 Facl6	integral membrane
ENSMUSG00000020334	Slc22a4 Octn1	integral membrane
ENSMUSG00000020335	Znf354b Kid2 Zfp354b	nucleus
ENSMUSG00000020340	Cyfip2 Kiaa1168 Pir121	nucleus
ENSMUSG00000020346	Mgat1 Gnt1	integral membrane
ENSMUSG00000020349	Ppp2ca	nucleus
ENSMUSG00000020358	Hnrnpab Cbf-a Cgbfa Hnrpab	nucleus
ENSMUSG00000020362	Cnot6 Ccr4 Kiaa1194	nucleus
ENSMUSG00000020364	Znf354a Kid1 Tcf17 Zfp354a	nucleus
ENSMUSG00000020366	Mapk9 Jnk2 Prkm9	nucleus
ENSMUSG00000020368	Canx	integral membrane
ENSMUSG00000020372	Rack1 Gnb2-rs1 Gnb2l1	nucleus
ENSMUSG00000020375	Rufy1 Rabip4	cytoplasm
ENSMUSG00000020376	Rnf130 G1rp	integral membrane
ENSMUSG00000020377	Ltc4s	integral membrane
ENSMUSG00000020381	Mrnip	nucleus
ENSMUSG00000020383	Il13 Il-13	cytoplasm
ENSMUSG00000020385	Clk4	nucleus
ENSMUSG00000020388	Pdlim4 Ril	nucleus
ENSMUSG00000020389	Cdkl3	nucleus
ENSMUSG00000020390	Ube2b Rad6b	nucleus
ENSMUSG00000020393	Kremen1 Kremen	integral membrane
ENSMUSG00000020395	Itk Emt Tlk Tsk	nucleus
ENSMUSG00000020396	Nefh Kiaa0845 Nfh	nucleus
ENSMUSG00000020399	Havcr2 Tim3 Timd3	integral membrane
ENSMUSG00000020400	Tnip1 Abin Naf1	cytoplasm
ENSMUSG00000020401	Fam71b	nucleus
ENSMUSG00000020409	Slu7 D11Ertd730e	nucleus
ENSMUSG00000020411	Nipal4 Ichn Nipa4	integral membrane
ENSMUSG00000020412	Ascc2 Asc1p100	nucleus
ENSMUSG00000020413	Hus1	nucleus
ENSMUSG00000020415	Pttg1 Pttg	nucleus
ENSMUSG00000020419	Hormad2	nucleus
ENSMUSG00000020423	Btg2 Tis21	nucleus
ENSMUSG00000020427	Igfbp3 Igfbp-3	nucleus
ENSMUSG00000020430	Pes1 Pes	nucleus
ENSMUSG00000020431	Adcy1	nucleus
ENSMUSG00000020436	Gabrg2	cytoplasm
ENSMUSG00000020437	Myo1g	cytoplasm
ENSMUSG00000020439	Smtn Smsmo	cytoplasm
ENSMUSG00000020440	Arf5	cytoplasm
ENSMUSG00000020448	Rnf185	integral membrane
ENSMUSG00000020451	Limk2	nucleus
ENSMUSG00000020454	Eif4enif1 Clast4	nucleus
ENSMUSG00000020455	Trim11	nucleus
ENSMUSG00000020456	Ogdh Kiaa4192	nucleus
ENSMUSG00000020457	Drg1 Drg Nedd-3 Nedd3	nucleus
ENSMUSG00000020458	Rtn4 Kiaa0886 Nogo	cytoplasm
ENSMUSG00000020460	Rps27a Uba80 Ubcep1	nucleus
ENSMUSG00000020462	Cfap36 Ccdc104	nucleus
ENSMUSG00000020463	Ppp4r3b Kiaa1387 Pp4r3b Smek2	nucleus
ENSMUSG00000020464	Pnpt1 Pnpase	nucleus
ENSMUSG00000020467	Efemp1 Fbln3	cytoplasm
ENSMUSG00000020472	Znf496 Nizp11 Zfp496 Zkscan17	nucleus
ENSMUSG00000020473	Aebp1 Aclp	nucleus
ENSMUSG00000020474	Polm polmu	nucleus
ENSMUSG00000020475	Pgam2	nucleus
ENSMUSG00000020476	Dbnl Abp1 Sh3p7	cytoplasm
ENSMUSG00000020483	Dynll2 Dlc2	cytoplasm
ENSMUSG00000020484	Xbp1 Treb5	nucleus
ENSMUSG00000020490	Btnl10 Butr1	integral membrane
ENSMUSG00000020492	Ska2 Fam33a	cytoplasm
ENSMUSG00000020493	Prr11	nucleus
ENSMUSG00000020513	Tubd1	nucleus
ENSMUSG00000020515	Cnot8	nucleus
ENSMUSG00000020516	Rps6kb1	nucleus
ENSMUSG00000020520	Galnt10	integral membrane
ENSMUSG00000020521	Rnft1	integral membrane
ENSMUSG00000020525	Ppm1d Wip1	nucleus
ENSMUSG00000020526	Znhit3 Trip3	nucleus
ENSMUSG00000020527	Myo19 Myohd1	cytoplasm
ENSMUSG00000020528	Prpsap2	cytoplasm
ENSMUSG00000020530	Ggnbp2 Zfp403 Znf403	nucleus
ENSMUSG00000020534	Shmt1 Shmt	nucleus
ENSMUSG00000020536	Llgl1 Llglh	cytoplasm
ENSMUSG00000020537	Drg2	nucleus
ENSMUSG00000020538	Srebf1 Srebp1	integral membrane
ENSMUSG00000020541	Tom1l1 Srcasm	cytoplasm
ENSMUSG00000020542	Myocd Bsac2 Mycd Srfcp	nucleus
ENSMUSG00000020547	Bzw2	cytoplasm
ENSMUSG00000020549	Elac2	nucleus
ENSMUSG00000020572	Nampt Pbef1	nucleus
ENSMUSG00000020573	Pik3cg Pi3kg1	cytoplasm
ENSMUSG00000020591	Ntsr2	integral membrane
ENSMUSG00000020592	Sdc1 Synd-1 Synd1	integral membrane
ENSMUSG00000020594	Pum2 Kiaa0235	cytoplasm
ENSMUSG00000020599	Rgs9	nucleus
ENSMUSG00000020601	Trib2	nucleus
ENSMUSG00000020608	Smc6 Kiaa4103 Smc6l1	nucleus
ENSMUSG00000020609	Apob	cytoplasm
ENSMUSG00000020611	Gna13 Gna-13	nucleus
ENSMUSG00000020612	Prkar1a	cytoplasm
ENSMUSG00000020614	Fam20a	cytoplasm
ENSMUSG00000020620	Abca8b Abca8 Kiaa0822	integral membrane
ENSMUSG00000020628	Trappc12 Ttc15	nucleus
ENSMUSG00000020629	Adi1 Mtcbp1	nucleus
ENSMUSG00000020633	Dcdc2c	cytoplasm
ENSMUSG00000020634	Ubxn2a Ubxd4	nucleus
ENSMUSG00000020635	Fkbp1b	cytoplasm
ENSMUSG00000020638	Cmpk2 Tyki	cytoplasm
ENSMUSG00000020642	Rnf144a Kiaa0161 Rnf144 Ubce7ip4 Uip4	integral membrane
ENSMUSG00000020644	Id2 Id-2 Idb2	nucleus
ENSMUSG00000020646	Mboat2 Lpcat4 Oact2	integral membrane
ENSMUSG00000020647	Ncoa1 Src1	nucleus
ENSMUSG00000020650	Bcap29 Bap29	integral membrane
ENSMUSG00000020653	Klf11 Tieg2b Tieg3	nucleus
ENSMUSG00000020654	Adcy3	integral membrane
ENSMUSG00000020656	Grhl1 Mgr Tcfcp2l2	nucleus
ENSMUSG00000020657	Dnajc27 Rabj Rbj	nucleus
ENSMUSG00000020659	Cbll1 Hakai	nucleus
ENSMUSG00000020660	Pomc Pomc1	cytoplasm
ENSMUSG00000020661	Dnmt3a	nucleus
ENSMUSG00000020664	Dld	nucleus
ENSMUSG00000020672	Sntg2	cytoplasm
ENSMUSG00000020673	Tpo	integral membrane
ENSMUSG00000020679	Hnf1b Hnf-1b Tcf2	nucleus
ENSMUSG00000020681	Ace Dcp1	integral membrane
ENSMUSG00000020686	Gas2l2	cytoplasm
ENSMUSG00000020687	Cdc27	nucleus
ENSMUSG00000020689	Itgb3	nucleus
ENSMUSG00000020694	Tlk2 Tlk	nucleus
ENSMUSG00000020695	Mrc2 Kiaa0709	integral membrane
ENSMUSG00000020696	Rffl	cytoplasm
ENSMUSG00000020701	Tmem132e Gm644	integral membrane
ENSMUSG00000020704	Asic2 Accn1 Bnac1	integral membrane
ENSMUSG00000020705	Ddx42	nucleus
ENSMUSG00000020707	Rnf135	cytoplasm
ENSMUSG00000020708	Psmc5 Sug1	nucleus
ENSMUSG00000020709	Adap2 Centa2	cytoplasm
ENSMUSG00000020713	Gh1 Gh	nucleus
ENSMUSG00000020715	Ern1 Ire1	cytoplasm
ENSMUSG00000020716	Nf1	nucleus
ENSMUSG00000020717	Pecam1 Pecam Pecam-1	cytoplasm
ENSMUSG00000020718	Polg2 Mtpolb	cytoplasm
ENSMUSG00000020720	Psmd12	cytoplasm
ENSMUSG00000020721	Helz Kiaa0054	nucleus
ENSMUSG00000020728	Cep112 Ccdc46	cytoplasm
ENSMUSG00000020733	Slc9a3r1 Nherf Nherf1	cytoplasm
ENSMUSG00000020736	Nt5c Dnt1	nucleus
ENSMUSG00000020737	Jpt1 Hn1	cytoplasm
ENSMUSG00000020738	Sumo2 Smt3b Smt3h2	nucleus
ENSMUSG00000020739	Nup85 Pcnt1	nucleus
ENSMUSG00000020745	Pafah1b1 Lis-1 Lis1 Pafaha	cytoplasm
ENSMUSG00000020747	Tmem94 Kiaa0195	integral membrane
ENSMUSG00000020752	Recql5	nucleus
ENSMUSG00000020755	Sap30bp Hcngp	nucleus
ENSMUSG00000020758	Itgb4	cytoplasm
ENSMUSG00000020766	Galk1 Galk Glk	cytoplasm
ENSMUSG00000020770	Unk Kiaa1753 Zc3h5 Zc3hdc5	cytoplasm
ENSMUSG00000020773	Trim47	nucleus
ENSMUSG00000020774	Aspa	nucleus
ENSMUSG00000020776	Fbf1	cytoplasm
ENSMUSG00000020777	Acox1 Acox Paox	cytoplasm
ENSMUSG00000020778	Ten1	nucleus
ENSMUSG00000020782	Llgl2 Llglh2	cytoplasm
ENSMUSG00000020783	Ncbp3	nucleus
ENSMUSG00000020785	Camkk1 Camkk	cytoplasm
ENSMUSG00000020788	Atp2a3	integral membrane
ENSMUSG00000020798	Spns3	integral membrane
ENSMUSG00000020802	Ube2o Kiaa1734	nucleus
ENSMUSG00000020804	Aanat Snat	cytoplasm
ENSMUSG00000020805	Slc13a5 Nact	integral membrane
ENSMUSG00000020806	Rhbdf2 Irhom2 Rhbdl6 Rhor	integral membrane
ENSMUSG00000020810	Cygb	cytoplasm
ENSMUSG00000020811	Wscd1 Kiaa0523	integral membrane
ENSMUSG00000020814	Mxra7	integral membrane
ENSMUSG00000020818	Mfsd11 Et	integral membrane
ENSMUSG00000020823	Sec14l1 Kiaa4251	cytoplasm
ENSMUSG00000020826	Nos2 Inosl	nucleus
ENSMUSG00000020827	Mink1 Map4k6 Mink	cytoplasm
ENSMUSG00000020828	Pld2	nucleus
ENSMUSG00000020829	Slc46a1 D11Ertd18e Hcp1 Pcft	integral membrane
ENSMUSG00000020839	Tmigd1 Tmigd	integral membrane
ENSMUSG00000020840	Blmh	cytoplasm
ENSMUSG00000020841	Cpd	integral membrane
ENSMUSG00000020843	Timm22 Tim22	integral membrane
ENSMUSG00000020844	Nxn Gn25	nucleus
ENSMUSG00000020846	Rflnb Cfm1 Fam101b	cytoplasm
ENSMUSG00000020847	Rph3al Gm1753 Noc2	cytoplasm
ENSMUSG00000020848	Doc2b	cytoplasm
ENSMUSG00000020849	Ywhae	nucleus
ENSMUSG00000020850	Prpf8 Prp8	nucleus
ENSMUSG00000020857	Nme2	nucleus
ENSMUSG00000020859	Spag9 Jip4 Jsap2 Kiaa0516 Mapk8ip4	cytoplasm
ENSMUSG00000020863	Luc7l3 Crop	nucleus
ENSMUSG00000020868	Xylt2	integral membrane
ENSMUSG00000020869	Lrrc59	integral membrane
ENSMUSG00000020875	Hoxb9 Hox-2.5 Hoxb-9	nucleus
ENSMUSG00000020883	Fbxl20 Fbl2	cytoplasm
ENSMUSG00000020884	Asgr1 Asgr-1	integral membrane
ENSMUSG00000020886	Dlg4 Dlgh4 Psd95	cytoplasm
ENSMUSG00000020888	Dvl2	nucleus
ENSMUSG00000020889	Nr1d1 Ear1	nucleus
ENSMUSG00000020890	Gucy2e Guc2e	integral membrane
ENSMUSG00000020892	Aloxe3	cytoplasm
ENSMUSG00000020893	Per1 Per Rigui	nucleus
ENSMUSG00000020894	Vamp2 Syb2	cytoplasm
ENSMUSG00000020895	Tmem107	integral membrane
ENSMUSG00000020897	Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	nucleus
ENSMUSG00000020898	Ctc1	nucleus
ENSMUSG00000020899	Pfas Kiaa0361	cytoplasm
ENSMUSG00000020900	Myh10	cytoplasm
ENSMUSG00000020901	Pik3r5	nucleus
ENSMUSG00000020902	Ntn1	cytoplasm
ENSMUSG00000020903	Stx8	integral membrane
ENSMUSG00000020904	Cfap52 Wdr16	cytoplasm
ENSMUSG00000020914	Top2a Top-2 Top2	nucleus
ENSMUSG00000020918	Kat2a Gcn5l2	nucleus
ENSMUSG00000020919	Stat5b	nucleus
ENSMUSG00000020921	Tmem101	integral membrane
ENSMUSG00000020926	Adam11 Mdc	integral membrane
ENSMUSG00000020928	Higd1b	integral membrane
ENSMUSG00000020929	Eftud2 Snrp116	nucleus
ENSMUSG00000020932	Gfap	cytoplasm
ENSMUSG00000020936	Nmt1	cytoplasm
ENSMUSG00000020946	Gosr2 Gs27	integral membrane
ENSMUSG00000020949	Fkbp3 Fkbp25	nucleus
ENSMUSG00000020950	Foxg1 Fkhl1 Foxg1b Hfhbf1	nucleus
ENSMUSG00000020954	Strn3 Gs2na Sg2na	nucleus
ENSMUSG00000020956	Dtd2	cytoplasm
ENSMUSG00000020962	Gtf2a1	nucleus
ENSMUSG00000020964	Sel1l Sel1h	integral membrane
ENSMUSG00000020973	Dnaaf2 Ktu	cytoplasm
ENSMUSG00000020982	Nemf Sdccag1	nucleus
ENSMUSG00000020988	L2hgdh	integral membrane
ENSMUSG00000020990	Cdkl1	nucleus
ENSMUSG00000021012	Zc3h14	nucleus
ENSMUSG00000021013	Ttc8 Bbs8	cytoplasm
ENSMUSG00000021018	Polr2h	nucleus
ENSMUSG00000021024	Psma6	nucleus
ENSMUSG00000021025	Nfkbia Ikba	nucleus
ENSMUSG00000021027	Ralgapa1 Garnl1 Kiaa0884 Tulip1	nucleus
ENSMUSG00000021028	Mbip	nucleus
ENSMUSG00000021032	Ngb	cytoplasm
ENSMUSG00000021036	Sptlc2 Lcb2	integral membrane
ENSMUSG00000021037	Ahsa1	cytoplasm
ENSMUSG00000021038	Vipas39 Spe39 Vipar	cytoplasm
ENSMUSG00000021040	Slirp	nucleus
ENSMUSG00000021047	Nova1	nucleus
ENSMUSG00000021051	Ppp2r5e Kiaa4006	nucleus
ENSMUSG00000021054	Sgpp1 Spp1 Spph1	integral membrane
ENSMUSG00000021055	Esr2 Estrb Nr3a2	nucleus
ENSMUSG00000021057	Akap5 Akap150	cytoplasm
ENSMUSG00000021065	Fut8	integral membrane
ENSMUSG00000021066	Atl1 Spg3a	integral membrane
ENSMUSG00000021067	Sav1 Ww45 Wwp3	nucleus
ENSMUSG00000021069	Pygl	cytoplasm
ENSMUSG00000021070	Bdkrb2	integral membrane
ENSMUSG00000021071	Trim9 Kiaa0282	cytoplasm
ENSMUSG00000021072	Tmx1 Txndc Txndc1	integral membrane
ENSMUSG00000021087	Rtn1 Nsp	integral membrane
ENSMUSG00000021095	Gsc	nucleus
ENSMUSG00000021096	Ppm1a Pppm1a	nucleus
ENSMUSG00000021097	Clmn	integral membrane
ENSMUSG00000021099	Six6 Optx2 Six9	nucleus
ENSMUSG00000021102	Glrx5	nucleus
ENSMUSG00000021108	Prkch Pkch	cytoplasm
ENSMUSG00000021109	Hif1a	nucleus
ENSMUSG00000021111	Papola Pap Plap	nucleus
ENSMUSG00000021112	Mpp5 Pals1	integral membrane
ENSMUSG00000021115	Vrk1	nucleus
ENSMUSG00000021116	Eif2s1 Eif2a	nucleus
ENSMUSG00000021118	Plek2	cytoplasm
ENSMUSG00000021125	Arg2	cytoplasm
ENSMUSG00000021127	Zfp36l1 Brf1 Tis11b	nucleus
ENSMUSG00000021130	Galnt16 Galntl1	integral membrane
ENSMUSG00000021131	Erh	nucleus
ENSMUSG00000021133	Susd6 Kiaa0247	integral membrane
ENSMUSG00000021134	Srsf5 Hrs Sfrs5	nucleus
ENSMUSG00000021135	Slc10a1 Ntcp	integral membrane
ENSMUSG00000021140	Pcnx1 Kiaa0805 Pcnx Pcnxl1	integral membrane
ENSMUSG00000021144	Mta1	nucleus
ENSMUSG00000021147	Wdr37 Kiaa0982	nucleus
ENSMUSG00000021148	Idi2 Gm9745	cytoplasm
ENSMUSG00000021149	Gtpbp4 Crfg Nog1	nucleus
ENSMUSG00000021156	Zmynd11	nucleus
ENSMUSG00000021175	Cdca7l	nucleus
ENSMUSG00000021178	Psmc1	nucleus
ENSMUSG00000021179	Nrde2	nucleus
ENSMUSG00000021180	Rps6ka5 Msk1	nucleus
ENSMUSG00000021182	Ccdc88c Daple	cytoplasm
ENSMUSG00000021187	Tc2n Mtac2d1	nucleus
ENSMUSG00000021189	Atxn3 Mjd	nucleus
ENSMUSG00000021190	Lgmn Prsc1	cytoplasm
ENSMUSG00000021192	Golga5 Retii	integral membrane
ENSMUSG00000021196	Pfkp Pfkc	cytoplasm
ENSMUSG00000021198	Unc79 Kiaa1409	integral membrane
ENSMUSG00000021203	Otub2	nucleus
ENSMUSG00000021208	Ifi27l2b Isg12(b2)	integral membrane
ENSMUSG00000021209	Ppp4r4 Kiaa1622 Pp4r4	cytoplasm
ENSMUSG00000021210	Akr1c6 Hsd17b5	nucleus
ENSMUSG00000021214	Akr1c18	nucleus
ENSMUSG00000021215	Net1 Arhgef8	nucleus
ENSMUSG00000021216	Tubal3	cytoplasm
ENSMUSG00000021218	Gdi2 Gdi3	cytoplasm
ENSMUSG00000021219	Rgs6	nucleus
ENSMUSG00000021224	Numb	nucleus
ENSMUSG00000021239	Vsx2 Chx10	nucleus
ENSMUSG00000021240	Abcd4 Pxmp1l	integral membrane
ENSMUSG00000021244	Ylpm1 Zap Zap3	nucleus
ENSMUSG00000021248	Tmed10 Tmp21	integral membrane
ENSMUSG00000021250	Fos	nucleus
ENSMUSG00000021252	Erg28 Orf11	integral membrane
ENSMUSG00000021255	Esrrb Err-2 Err2 Nr3b2	nucleus
ENSMUSG00000021256	Vash1 Vash	cytoplasm
ENSMUSG00000021257	Angel1 Kiaa0759	nucleus
ENSMUSG00000021259	Cyp46a1 Cyp46	integral membrane
ENSMUSG00000021262	Evl	cytoplasm
ENSMUSG00000021263	Degs2	integral membrane
ENSMUSG00000021264	Yy1 Ucrbp	nucleus
ENSMUSG00000021265	Slc25a29 Ornt3	integral membrane
ENSMUSG00000021266	Wars1 Wars Wrs	nucleus
ENSMUSG00000021270	Hsp90aa1 Hsp86 Hsp86-1 Hspca	nucleus
ENSMUSG00000021273	Fdft1 Erg9	integral membrane
ENSMUSG00000021276	Cinp	nucleus
ENSMUSG00000021278	Amn	integral membrane
ENSMUSG00000021279	Cdc42bpb Kiaa1124	cytoplasm
ENSMUSG00000021282	Eif5	cytoplasm
ENSMUSG00000021285	Ppp1r13b Aspp1	nucleus
ENSMUSG00000021287	Xrcc3	nucleus
ENSMUSG00000021290	Atp5mj Atp5mpl Mp68	integral membrane
ENSMUSG00000021294	Kif26a Kiaa1236	cytoplasm
ENSMUSG00000021301	Hecw1 Kiaa0322 Nedl1	cytoplasm
ENSMUSG00000021302	Ggps1	cytoplasm
ENSMUSG00000021313	Ryr2	integral membrane
ENSMUSG00000021318	Gli3	nucleus
ENSMUSG00000021319	Sfrp4	nucleus
ENSMUSG00000021326	Trim27 Rfp	nucleus
ENSMUSG00000021335	Slc17a1 Npt1	integral membrane
ENSMUSG00000021336	Slc17a4	integral membrane
ENSMUSG00000021337	Scgn	nucleus
ENSMUSG00000021338	Carmil1 Carmil Lrrc16 Lrrc16a	nucleus
ENSMUSG00000021339	Mrs2 Gm902 Mrs2l	integral membrane
ENSMUSG00000021356	Irf4 Spip	nucleus
ENSMUSG00000021360	Gcnt2	integral membrane
ENSMUSG00000021361	Tmem14c	integral membrane
ENSMUSG00000021363	Mak Rck	nucleus
ENSMUSG00000021365	Nedd9 Casl	nucleus
ENSMUSG00000021367	Edn1	cytoplasm
ENSMUSG00000021373	Cap2	cytoplasm
ENSMUSG00000021377	Dek	nucleus
ENSMUSG00000021379	Id4 Id-4 Idb4	nucleus
ENSMUSG00000021381	Barx1	nucleus
ENSMUSG00000021384	Susd3	integral membrane
ENSMUSG00000021385	Ippk	nucleus
ENSMUSG00000021391	Cenpp	nucleus
ENSMUSG00000021395	Spin1 Spin	nucleus
ENSMUSG00000021400	Wrnip1 Whip	nucleus
ENSMUSG00000021413	Prpf4b Cbp143 Prp4h Prp4k Prp4m Prpk	nucleus
ENSMUSG00000021420	Fars2 Fars1	cytoplasm
ENSMUSG00000021427	Ssr1	integral membrane
ENSMUSG00000021440	Cts7 Cts1 Epcs24	nucleus
ENSMUSG00000021456	Fbp2	nucleus
ENSMUSG00000021457	Syk ptk72 Sykb	nucleus
ENSMUSG00000021464	Ror2	cytoplasm
ENSMUSG00000021466	Ptch1 Ptch	nucleus
ENSMUSG00000021468	Sptlc1 Lcb1	integral membrane
ENSMUSG00000021469	Msx2 Hox-8.1 Msx-2	nucleus
ENSMUSG00000021470	Ercc6l2 Rad26l	nucleus
ENSMUSG00000021477	Ctsl Ctsl1	nucleus
ENSMUSG00000021478	Drd1 Drd1a Gpcr15	integral membrane
ENSMUSG00000021481	Znf346 Jaz Zfp346	nucleus
ENSMUSG00000021483	Cdk20 Ccrk Cdch	nucleus
ENSMUSG00000021493	Pdlim7 Enigma	cytoplasm
ENSMUSG00000021494	Ddx41	nucleus
ENSMUSG00000021495	Fam193b Kiaa1931	nucleus
ENSMUSG00000021496	Pcbd2 Dcoh2 Dcohm	nucleus
ENSMUSG00000021497	Txndc15	integral membrane
ENSMUSG00000021500	Ddx46 Kiaa0801	nucleus
ENSMUSG00000021501	Camlg Caml	integral membrane
ENSMUSG00000021504	B4galt7 Xgalt1	integral membrane
ENSMUSG00000021506	Pitx1 Bft Potx Ptx1	nucleus
ENSMUSG00000021509	Slc25a48	integral membrane
ENSMUSG00000021518	Ptdss1 Pssa	integral membrane
ENSMUSG00000021537	Cetn3 Cen3	cytoplasm
ENSMUSG00000021540	Smad5 Madh5 Msmad5	nucleus
ENSMUSG00000021541	Trpc7 Trp7 Trrp8	integral membrane
ENSMUSG00000021546	Hnrnpk Hnrpk	nucleus
ENSMUSG00000021548	Ccnh	nucleus
ENSMUSG00000021555	Naa35 Egap Mak10	cytoplasm
ENSMUSG00000021556	Golm1 Golph2	integral membrane
ENSMUSG00000021557	Agtpbp1 Ccp1 Nna1	nucleus
ENSMUSG00000021559	Dapk1	nucleus
ENSMUSG00000021567	Nkd2	cytoplasm
ENSMUSG00000021569	Trip13 Pch2	nucleus
ENSMUSG00000021572	Cep72 Kiaa1519	cytoplasm
ENSMUSG00000021573	Tppp	nucleus
ENSMUSG00000021576	Pdcd6 Alg2	nucleus
ENSMUSG00000021579	Lrrc14b	cytoplasm
ENSMUSG00000021583	Erap1 Appils Arts1	integral membrane
ENSMUSG00000021585	Cast	nucleus
ENSMUSG00000021589	Rhobtb3 Kiaa0878	cytoplasm
ENSMUSG00000021590	Spata9	integral membrane
ENSMUSG00000021591	Glrx Glrx1 Grx Grx1	nucleus
ENSMUSG00000021595	Nsun2 D13Wsu123e Misu	nucleus
ENSMUSG00000021596	Mctp1	integral membrane
ENSMUSG00000021597	Slf1 Ankrd32 Brctd1 Brctx	nucleus
ENSMUSG00000021604	Irx4 Irxa3	nucleus
ENSMUSG00000021608	Lpcat1 Aytl2	integral membrane
ENSMUSG00000021610	Clptm1l	integral membrane
ENSMUSG00000021611	Tert	nucleus
ENSMUSG00000021624	Cd180 Ly78 Rp105	integral membrane
ENSMUSG00000021629	Slc30a5 Znt5	integral membrane
ENSMUSG00000021636	Marveld2 Mrvldc2 Tric	integral membrane
ENSMUSG00000021638	Ocln Ocl	integral membrane
ENSMUSG00000021639	Gtf2h2 Btf2p44	nucleus
ENSMUSG00000021640	Naip1 Birc1a Naip	cytoplasm
ENSMUSG00000021643	Serf1	nucleus
ENSMUSG00000021645	Smn1 Smn	nucleus
ENSMUSG00000021660	Btf3	nucleus
ENSMUSG00000021661	Ankra2 Ankra	nucleus
ENSMUSG00000021668	Polk Dinb1	nucleus
ENSMUSG00000021670	Hmgcr	integral membrane
ENSMUSG00000021676	Iqgap2	cytoplasm
ENSMUSG00000021680	Crhbp	nucleus
ENSMUSG00000021681	Aggf1 Vg5q	cytoplasm
ENSMUSG00000021687	Scamp1	integral membrane
ENSMUSG00000021693	Kif2a Kif2 Kns2	cytoplasm
ENSMUSG00000021694	Ercc8 Ckn1 Csa	nucleus
ENSMUSG00000021699	Pde4d	nucleus
ENSMUSG00000021701	Plk2 Snk	nucleus
ENSMUSG00000021703	Serinc5 Aigp3	integral membrane
ENSMUSG00000021707	Dhfr	cytoplasm
ENSMUSG00000021709	Erbin Erbb2ip Kiaa1225 Lap2	nucleus
ENSMUSG00000021712	Trim23 Arfd1	nucleus
ENSMUSG00000021714	Cenpk Solt	nucleus
ENSMUSG00000021715	Cwc27 Sdccag10	nucleus
ENSMUSG00000021719	Rgs7bp D13Bwg1146e R7bp	nucleus
ENSMUSG00000021720	Rnf180 Rines	integral membrane
ENSMUSG00000021730	Hcn1 Bcng1 Hac2	cytoplasm
ENSMUSG00000021732	Fgf10	nucleus
ENSMUSG00000021738	Atxn7 Sca7	nucleus
ENSMUSG00000021743	Fezf2 Fez Fezl Zfp312	nucleus
ENSMUSG00000021750	Fam107a	nucleus
ENSMUSG00000021758	Ddx4 Mvh Vasa	nucleus
ENSMUSG00000021760	Gpx8	integral membrane
ENSMUSG00000021765	Fst	nucleus
ENSMUSG00000021767	Kat6b Myst4	nucleus
ENSMUSG00000021768	Dusp13 Dusp13a Mdsp	cytoplasm
ENSMUSG00000021768	Dusp13 Gm1203 Tmdp	cytoplasm
ENSMUSG00000021770	Samd8	integral membrane
ENSMUSG00000021773	Comtd1	integral membrane
ENSMUSG00000021774	Ube2e1 Ubce5 Ubcm3	nucleus
ENSMUSG00000021775	Nr1d2	nucleus
ENSMUSG00000021779	Thrb Erba2 Nr1a2	nucleus
ENSMUSG00000021782	Dlg5	cytoplasm
ENSMUSG00000021785	Ngly1	nucleus
ENSMUSG00000021792	Prxl2a Fam213a Pamm	cytoplasm
ENSMUSG00000021794	Glud1 Glud	cytoplasm
ENSMUSG00000021795	Sftpd Sftp4	cytoplasm
ENSMUSG00000021796	Bmpr1a Acvrlk3 Bmpr	integral membrane
ENSMUSG00000021799	Opn4 Mop Mopn	integral membrane
ENSMUSG00000021807	RTRAF	nucleus
ENSMUSG00000021810	Ecd	nucleus
ENSMUSG00000021811	Dnajc9	nucleus
ENSMUSG00000021814	Anxa7 Anx7	nucleus
ENSMUSG00000021816	Ppp3cb Calnb	cytoplasm
ENSMUSG00000021820	Camk2g	cytoplasm
ENSMUSG00000021823	Vcl	cytoplasm
ENSMUSG00000021832	Psmc6 Sug2	nucleus
ENSMUSG00000021835	Bmp4 Bmp-4 Dvr-4	cytoplasm
ENSMUSG00000021852	Slc35f4 MNCb-0335	integral membrane
ENSMUSG00000021866	Anxa11 Anx11	cytoplasm
ENSMUSG00000021868	Ppif	cytoplasm
ENSMUSG00000021870	Slmap Kiaa1601 Slap	integral membrane
ENSMUSG00000021877	Arf4	cytoplasm
ENSMUSG00000021890	Eaf1	nucleus
